feature,bucket,n,coverage_pct,win_rate,expectancy_r,gross_r,lift_r,t_stat,coins_positive,years_positive
dd_30d & bb_width_pctile,-inf..-33.6 & 0.879..inf,43788,1.71398845206739,0.39691239609025303,0.05902915406097669,0.12832659989546027,0.3637397018328138,8.847310536336494,0.8571428571428571,0.8333333333333334
atr_pct & ret_96,1.08..inf & -inf..-4.32,114066,4.464871809023451,0.3762120176038434,-0.0019662154071729172,0.06362396931400649,0.3027443323646642,-0.4817056074294319,0.42857142857142855,0.5
bb_width_pctile & ret_96,0.879..inf & -inf..-4.32,82491,3.228935356707113,0.38779988119916114,-0.007680098630491026,0.08115992896788002,0.2970304491413461,-1.6095494566528157,0.42857142857142855,0.5
dist_low_20 & ret_96,3.14..inf & -inf..-4.32,63674,2.4923837740234536,0.38142727015736405,-0.00870211213197018,0.06094383640431982,0.2960084356398669,-1.6132623999246698,0.5,0.6666666666666666
ret_16 & ema200_rel,1.63..inf & -inf..-3.06,24720,0.9676120063740267,0.37148058252427185,-0.019667973742247137,0.05936976591888627,0.28504257402958993,-2.2342458147204987,0.5,0.6666666666666666
ret_96 & ret_16,-inf..-4.32 & 1.63..inf,31322,1.2260333035456012,0.3700274567396718,-0.023786364170932293,0.06161743879996961,0.2809241836009048,-3.0301469189748187,0.35714285714285715,0.5
atr_pct & dd_30d,1.08..inf & -4.52..inf,27938,1.0935737958769238,0.35267377765051183,-0.027006249257318066,0.043061407651928035,0.27770429851451905,-3.201096429482757,0.42857142857142855,0.3333333333333333
atr_pct & dist_low_20,1.08..inf & -inf..0.288,9963,0.3899805185883668,0.3599317474656228,-0.028873508193292503,0.04404717605737471,0.2758370395785446,-2.0643534523421185,0.35714285714285715,0.16666666666666666
atr_pct & ema200_rel,1.08..inf & -inf..-3.06,116289,4.551886432412184,0.3671284472306065,-0.03021756299751029,0.035661168245748,0.2744929847743268,-7.522365393700736,0.21428571428571427,0.3333333333333333
dist_low_20 & ema200_rel,3.14..inf & -inf..-3.06,58958,2.307785949506467,0.37441907798772006,-0.03331071392931486,0.03421638037188296,0.27139983384252225,-5.996947424269397,0.42857142857142855,0.3333333333333333
atr_pct & dd_30d,1.08..inf & -inf..-33.6,108874,4.261641973380493,0.358065286477947,-0.03504800035455724,0.03062480384937119,0.26966254741727985,-8.362066740873672,0.42857142857142855,0.3333333333333333
atr_pct & bb_width_pctile,1.08..inf & 0.879..inf,121884,4.7708908489033925,0.363960815201339,-0.04169998035080464,0.021139161435207006,0.26301056742103246,-10.752469599045094,0.21428571428571427,0.16666666666666666
dist_low_20 & dd_30d,3.14..inf & -inf..-33.6,75951,2.972940918127577,0.3565588339850693,-0.05110598599517358,0.02630913542632961,0.2536045617766635,-10.19510695865744,0.35714285714285715,0.3333333333333333
atr_pct & dist_low_20,1.08..inf & 0.288..0.524,10273,0.4021148115485589,0.3523800253090626,-0.05307498698016749,0.02084945705658204,0.2516355607916696,-3.882936452518101,0.21428571428571427,0.0
dist_high_20 & ret_16,3.07..inf & 1.63..inf,23327,0.9130859738141958,0.3486089081322073,-0.0550069523766005,-0.0007860694408425604,0.2497035953952366,-6.213020581478247,0.35714285714285715,0.16666666666666666
dist_low_20 & dist_high_20,3.14..inf & 3.07..inf,62306,2.4388363134765414,0.3599171829358328,-0.055495781279821764,-0.0013437950555329986,0.24921476649201532,-10.398746124587577,0.07142857142857142,0.16666666666666666
dist_high_20 & ret_96,3.07..inf & -inf..-4.32,127120,4.975842971289088,0.3628303964757709,-0.05648452657243995,0.029680543752292395,0.24822602119939713,-14.657780640948326,0.21428571428571427,0.16666666666666666
dist_high_20 & dd_30d,3.07..inf & -inf..-33.6,90783,3.553508121951993,0.35371159798640717,-0.05766103823084858,0.02115802133130591,0.2470495095409885,-12.554980606809853,0.14285714285714285,0.16666666666666666
dd_30d & ema200_rel,-inf..-33.6 & -inf..-3.06,105570,4.132313896153155,0.35745003315335794,-0.05827927848835851,0.03154188233875572,0.24643126928347858,-13.604964038901125,0.21428571428571427,0.16666666666666666
atr_pct & ema200_rel,1.08..inf & -0.716..-0.0818,10466,0.4096693874882914,0.35343015478692913,-0.06015228701070081,0.014573562690506725,0.2445582607611363,-4.476229119497281,0.2857142857142857,0.3333333333333333
dist_low_20 & ret_16,3.14..inf & -inf..-1.65,28800,1.1273149588823612,0.3718402777777778,-0.062386127399019324,-0.005653876362670245,0.24232442037281776,-8.10793705469381,0.07142857142857142,0.3333333333333333
atr_pct & bb_width_pctile,1.08..inf & 0.751..0.879,66039,2.584956686445564,0.3483547600660216,-0.06276615419788736,0.006632337448305061,0.24194439357394973,-11.718638550107086,0.0,0.16666666666666666
atr_pct & dist_high_20,1.08..inf & 3.07..inf,171787,6.724238015330701,0.35122564571242293,-0.06558216076588809,-0.0018677085774983753,0.23912838700594902,-20.00390328984022,0.0,0.0
dd_30d & ret_96,-inf..-33.6 & -inf..-4.32,95212,3.7268719397606724,0.3546401714069655,-0.0658913762788998,0.024496808743471477,0.2388191714929373,-14.629894901759913,0.42857142857142855,0.16666666666666666
bb_width_pctile & ema200_rel,0.879..inf & -inf..-3.06,93943,3.6771996243849188,0.3685852059227404,-0.06607390283143844,0.027431253076881573,0.23863664494039866,-14.929048866463287,0.07142857142857142,0.16666666666666666
dd_30d & bb_width_pctile,-inf..-33.6 & 0.751..0.879,40610,1.5895923777851628,0.35193302142329475,-0.07164969309576379,0.02339758127626288,0.2330608546760733,-10.40235426515411,0.07142857142857142,0.16666666666666666
atr_pct & ret_16,1.08..inf & -inf..-1.65,114579,4.484952106728544,0.35225477618062645,-0.07232477147492947,-0.006361711790875132,0.23238577629690763,-18.06596440512749,0.0,0.16666666666666666
dist_low_20 & bb_width_pctile,3.14..inf & 0.879..inf,141187,5.526465871518192,0.35693087890528163,-0.07762337053753501,0.014418258136795174,0.22708717723430208,-21.400339607421852,0.0,0.0
bb_width_pctile & ret_96,0.751..0.879 & -inf..-4.32,53797,2.105769543159527,0.356767105972452,-0.07823422716416645,0.028342297777927128,0.22647632060767064,-13.086789996585354,0.14285714285714285,0.16666666666666666
dist_low_20 & ret_16,3.14..inf & 0..0.332,6461,0.25290215101871305,0.3507197028323789,-0.0793943155486644,0.007849342450998381,0.2253162322231727,-4.651284695885949,0.21428571428571427,0.16666666666666666
atr_pct & ret_96,1.08..inf & -4.32..-2.24,26027,1.0187717512094172,0.35178852729857457,-0.08110425801530428,-0.006099525487747758,0.2236062897565328,-9.634233967201343,0.21428571428571427,0.16666666666666666
atr_pct & dist_low_20,1.08..inf & 0.524..0.777,11874,0.46478256325587347,0.34209196563921174,-0.08138145137026774,-0.007498975289020223,0.22332909640156934,-6.440887153835222,0.2857142857142857,0.0
