feature,bucket,n,coverage_pct,win_rate,expectancy_r,lift_r,t_stat,coins_positive,years_positive
ema200_rel,2.88..135,319343,12.500004892860064,0.32033268303986623,-0.17548765475672548,0.1292228930151116,-72.0653887445875,0.0,0.0
btc_ret_24h,-19.8..-2.55,295347,11.560732331980164,0.33397664442164643,-0.1794174594393516,0.12529308833248548,-71.26248370000398,0.0,0.0
ret_96,4.36..234,319175,12.49342888893325,0.3148022244850004,-0.19472861391538368,0.10998193385645341,-80.40131284655033,0.0,0.0
atr_pct,0.658..0.807,319343,12.500004892860064,0.31996317439242444,-0.19846579406119927,0.10624475371063782,-81.98620283710535,0.0,0.0
dist_low_20,2.04..3.14,319309,12.498674034922495,0.3209962763342092,-0.2015161386023562,0.10319440916948089,-83.3459172875201,0.0,0.0
ret_1d_5,10.2..392,318330,12.460353154896598,0.3135331260013194,-0.2037413455882267,0.10096920218361038,-84.05254275727276,0.0,0.0
dist_high_20,1.96..3.07,319309,12.498674034922495,0.31704399186994414,-0.21211542945315162,0.09259511831868547,-88.00539659259347,0.0,0.0
bb_width_pctile,0.751..0.879,318987,12.486070027396103,0.32750550962891906,-0.21229949449276228,0.09241105327907481,-87.3833982460444,0.0,0.0
dow,4,365509,14.307075114796282,0.3430503763245228,-0.21531111049483428,0.08939943727700281,-94.60023365147646,0.0,0.0
up_from_low_30d,48..4.31e+03,319173,12.493350603172217,0.30236580161855797,-0.22140416483340178,0.08330638293843531,-92.4289751904163,0.0,0.0
btc_ret_24h,2.72..19.8,295296,11.55873604507381,0.32212085500650195,-0.22201411950910047,0.08269642826273663,-87.13115811383516,0.0,0.0
atr_pct,0.551..0.658,319342,12.499965749979548,0.31369190397755387,-0.23984039662324547,0.06487015114859163,-99.12521373672712,0.0,0.0
dist_low_20,1.46..2.04,319310,12.498713177803012,0.31455012370423724,-0.24642886970782502,0.05828167806401208,-102.01559812662248,0.0,0.0
dd_30d,-33.6..-25.7,319182,12.493702889096868,0.3125364212267609,-0.2465679390911686,0.058142608680668506,-102.42640858325788,0.0,0.0
hour,18,106482,4.16801220318443,0.32692849495689413,-0.24831906085957697,0.05639148691226012,-59.010129982832346,0.0,0.0
dist_high_20,1.39..1.96,319310,12.498713177803012,0.3131846794650966,-0.24920051739867397,0.05551003037316313,-103.08763935582061,0.0,0.0
btc_ret_24h,-2.55..-1.27,295339,11.56041918893603,0.32291705463890646,-0.24983571028861865,0.05487483748321845,-98.66886126947313,0.0,0.0
up_from_low_30d,31.2..48,319179,12.493585460455318,0.30783040237609616,-0.2507150061053431,0.05399554166649401,-103.78726859077908,0.0,0.0
rsi_1h,63.2..100,319335,12.49969174981593,0.3217592810058403,-0.25273605164073226,0.05197449613110483,-102.75093919546704,0.0,0.0
hour,2,106365,4.163432486163971,0.3275983641235369,-0.2534104600966264,0.051300087675210715,-59.240244676969716,0.0,0.0
hour,3,106372,4.163706486327587,0.3289023427217689,-0.2535698318476522,0.0511407159241849,-59.06240253106805,0.0,0.0
ema200_rel,1.36..2.88,319343,12.500004892860064,0.3180279511371785,-0.25557438594587206,0.04913616182596503,-104.53221878011776,0.0,0.0
up_from_low_30d,17.3..23,319181,12.49366374621635,0.32421416061733,-0.257093521632025,0.04761702613981211,-104.9750364374846,0.0,0.0
hour,17,106493,4.1684427748701145,0.323091658606669,-0.2571158375250114,0.04759471024682571,-61.478196394483504,0.0,0.0
hour,19,106459,4.167111916932544,0.32426567974525405,-0.2593210566782588,0.045389491093578316,-61.47807738068357,0.0,0.0
consec_up,5,46782,1.8311822363345354,0.32315847975717155,-0.2629869311676109,0.04172361660422619,-40.921193497807316,0.0,0.0
ema50_rel,0.654..1.38,319343,12.500004892860064,0.31474308189000544,-0.26417059100594664,0.04053995676589045,-108.42984812033656,0.0,0.0
hour,15,106492,4.168403631989597,0.32075648875032864,-0.26601480910593195,0.038695738665905144,-63.50112165910583,0.0,0.0
hour,20,106462,4.1672293455740945,0.3228945539253443,-0.26746798611034034,0.037242561661496754,-63.31456738581533,0.0,0.0
btc_ret_24h,-1.27..-0.496,295369,11.561593475351533,0.32272174805074333,-0.2674912196217315,0.03721932815010559,-105.24406922039243,0.0,0.0
hour,16,106495,4.168521060631147,0.3196112493544298,-0.26752513134177247,0.03718541643006462,-64.21130744045965,0.0,0.0
dow,2,364600,14.271494236406559,0.3183406472846956,-0.2684400302007841,0.036270517571052985,-117.56812255540736,0.0,0.0
up_from_low_30d,23..31.2,319173,12.493350603172217,0.31215359695212314,-0.2688226937416519,0.035887854030185184,-110.97097923903927,0.0,0.0
ret_4,0.391..0.803,319338,12.49980917845748,0.3135768370817128,-0.2692617038918989,0.035448843879938186,-111.21931954971052,0.0,0.0
ema20_rel,0.394..0.822,319343,12.500004892860064,0.31345919591160604,-0.2694548024526708,0.03525574531916631,-111.00253318938385,0.0,0.0
bb_width_pctile,0.62..0.751,317931,12.444735145570416,0.31292009901519513,-0.27012459961477064,0.03458594815706645,-111.41499197965076,0.0,0.0
ret_1d_5,4.78..10.2,318280,12.45839601087076,0.31463491265552346,-0.2717864421655696,0.03292410560626752,-111.3927994006977,0.0,0.0
ret_4,-0.812..-0.391,319336,12.499730892696448,0.31214770649096873,-0.2721075735267349,0.03260297424510217,-112.48588259428647,0.0,0.0
rsi,62.6..100,319343,12.500004892860064,0.3198692315159562,-0.273767354431643,0.030943193340194075,-111.26692195212705,0.0,0.0
ret_16,-1.65..-0.793,319310,12.498713177803012,0.3100184773417682,-0.2745881982530256,0.030122349518811486,-113.85850389613196,0.0,0.0
wick_lower_pct,8.7..16.3,318800,12.47875030873947,0.3163770388958595,-0.2752530304799874,0.0294575172918497,-112.89511225503583,0.0,0.0
ret_16,0.781..1.63,319173,12.493350603172217,0.31103508128820423,-0.27611322025445395,0.028597327517383142,-114.03132521544347,0.0,0.0
hour,1,106469,4.167503345737712,0.31980200809625337,-0.27746224470963876,0.02724830306219833,-65.47167307531387,0.0,0.0
consec_down,4,58973,2.308373092714218,0.3171112203889916,-0.27782000061889023,0.026890547152946864,-48.85650344368669,0.0,0.0
dist_high_20,1..1.39,319309,12.498674034922495,0.3112878121192951,-0.2801691979917323,0.024541349780104804,-115.6215480454671,0.0,0.0
dow,0,364564,14.270085092707955,0.3121756399425067,-0.2802329269111955,0.02447762086064159,-122.80870178066938,0.0,0.0
consec_down,5,44316,1.7346558929802331,0.31494268435779404,-0.28053130377231933,0.024179243999517763,-42.974348637239764,0.0,0.0
consec_down,3,136271,5.334039470897856,0.3170667273300996,-0.28070026358450845,0.024010284187328645,-75.05171815640222,0.0,0.0
ema20_rel,-0.856..-0.405,319343,12.500004892860064,0.30822657769232453,-0.2811422409555966,0.023568306816240503,-116.86328364421601,0.0,0.0
hour,14,106491,4.168364489109081,0.31644927740372425,-0.281281460267575,0.02342908750426209,-66.80135567541808,0.0,0.0
ret_96,2.07..4.36,319157,12.49272431708395,0.30934931710725444,-0.2815088065264682,0.02320174124536889,-116.1251526429131,0.0,0.0
ret_96,-4.32..-2.24,319174,12.493389746052735,0.30883467951650195,-0.28284824382867013,0.02186230394316696,-117.85443330845109,0.0,0.0
dist_low_20,1.08..1.46,319310,12.498713177803012,0.31108014155522845,-0.2830119404380865,0.02169860733375062,-117.06824532241309,0.0,0.0
btc_trend_1h,1,801483,31.37235330520526,0.31623627700150847,-0.2831854542105876,0.021525093561249486,-182.84100731529912,0.0,0.0
rsi_1h,-0.001..36.5,319341,12.499926607099031,0.31284113220663806,-0.28320685850916094,0.02150368926267615,-118.83600456122521,0.0,0.0
wick_upper_pct,7.14..14.3,322176,12.610896673364014,0.3140115961462058,-0.28363595619696075,0.021074591574876345,-117.29670816849307,0.0,0.0
trend_1h,1,746760,29.230337454687223,0.31722507900798114,-0.284104967590167,0.02060558018167008,-176.57943675466356,0.0,0.0
hour,21,106459,4.167111916932544,0.3184888078978762,-0.2851629566474677,0.01954759112436938,-67.54742118744633,0.0,0.0
wick_lower_pct,16.3..23.8,318754,12.4769497362357,0.3144838966726692,-0.28609540195083183,0.018615145821005263,-117.50370503549675,0.0,0.0
hour,4,106359,4.163197628880869,0.319784879511842,-0.2867246342477635,0.017985913524073582,-67.17469926030701,0.0,0.0
body_pct,36.1..48.6,318769,12.47753687944345,0.3132393676925924,-0.2872208994712147,0.017489648300622385,-118.18554688744247,0.0,0.0
ema_stack,1,879319,34.41907855310691,0.316905468891267,-0.2874906855080963,0.01721986226374078,-193.8985318208517,0.0,0.0
consec_down,2,303036,11.861701940273445,0.31611425705196744,-0.2878169653986177,0.016893582373219418,-114.84696266286844,0.0,0.0
atr_pct,0.461..0.551,319343,12.500004892860064,0.30754705755253753,-0.2880716745426843,0.016638873229152806,-119.43140305207868,0.0,0.0
wick_upper_pct,14.3..21.5,315204,12.337992510401241,0.3134351086915141,-0.28980050925901757,0.014910038512819523,-118.43310088081031,0.0,0.0
body_pct,67.4..80.2,318795,12.478554594336886,0.3148637839363855,-0.2902953834406182,0.014415164331218866,-119.0462568915657,0.0,0.0
consec_up,4,60762,2.3783997059586817,0.3145386919456239,-0.29042881281701133,0.014281734954825764,-51.96615444706101,0.0,0.0
wick_upper_pct,21.5..30,318819,12.479494023469288,0.31365759255251413,-0.29054568399412006,0.01416486377771703,-119.39564650791037,0.0,0.0
vol_ratio,1.71..18.8,319310,12.498713177803012,0.3151764742726504,-0.2907438184505367,0.013966729321300386,-118.8459222839558,0.0,0.0
consec_up,3,137694,5.389739789873189,0.314864845236539,-0.2926511792884581,0.012059368483379018,-78.83805836371619,0.0,0.0
btc_trend_1h,0,1562167,61.14771622820769,0.31166706248435666,-0.29384178538666195,0.010868762385175146,-268.57172962576993,0.0,0.0
wick_upper_pct,52.6..100,318780,12.477967451129135,0.31406926406926405,-0.2946302054996439,0.010080342272193177,-120.80693311614948,0.0,0.0
bb_pos,-0.583..0.106,319310,12.498713177803012,0.31410228304782184,-0.29500368833557045,0.009706859436266646,-121.1096790848966,0.0,0.0
rsi,-0.001..37.3,319343,12.500004892860064,0.3118465098655677,-0.29594699059876534,0.008763557173071757,-123.11953248125452,0.0,0.0
dd_30d,-25.7..-20.5,319169,12.49319403165015,0.3057784433951919,-0.29680729299192915,0.007903254779907942,-123.54332274474878,0.0,0.0
ema50_rel,-1.44..-0.701,319343,12.500004892860064,0.3025054565154082,-0.2971777772271924,0.007532770544644685,-124.54453740096365,0.0,0.0
bb_pos,0.503..0.636,319309,12.498674034922495,0.31504905906191183,-0.29724878772314833,0.007461760048688759,-121.8595188682586,0.0,0.0
ret_1d_5,-9.87..-5.37,318332,12.460431440657631,0.3060515436713871,-0.2977557464093175,0.00695480136251958,-123.82390520907217,0.0,0.0
wick_upper_pct,30..40,326715,12.788566208029536,0.3132332461013421,-0.2991936916972565,0.005516856074580578,-124.38194692643465,0.0,0.0
bb_width_pctile,0.49..0.62,318960,12.48501316962215,0.3084556057185854,-0.29950234107860063,0.005208206693236461,-123.53169606595131,0.0,0.0
wick_lower_pct,23.8..33.3,318944,12.484386883533881,0.3123275559345841,-0.3006128912121795,0.004097656559657603,-123.71936645891263,0.0,0.0
vol_ratio,0.545..0.672,319309,12.498674034922495,0.31279418995393177,-0.30198654816726805,0.0027239996045690384,-124.16615533471808,0.0,0.0
bb_pos,0.892..1.59,319310,12.498713177803012,0.3131157809025712,-0.30237322838958974,0.0023373193822473493,-123.38182406668294,0.0,0.0
vol_ratio,0.408..0.545,319310,12.498713177803012,0.31226707588237135,-0.30255972711494006,0.0021508206568970345,-124.91439290491721,0.0,0.0
dow,1,364562,14.270006806946922,0.3050729368392756,-0.302778729187802,0.0019318185840350721,-133.43960157534832,0.0,0.0
up_from_low_30d,12.6..17.3,319177,12.493507174694285,0.31765446758381716,-0.30288083222492224,0.0018297155469148563,-123.97139725251297,0.0,0.0
above_ema20_1d,1,1102194,43.143048048277265,0.31240416841318314,-0.3029543135177177,0.0017562342541194154,-230.72974001992378,0.0,0.0
body_pct,57.1..67.4,317134,12.413538269798567,0.3124420591926441,-0.30322555797691597,0.001484989794921121,-124.22042920078216,0.0,0.0
vol_ratio,-0.001..0.408,319310,12.498713177803012,0.3133099495787792,-0.30328232401304905,0.0014282237587880386,-125.87479831772816,0.0,0.0
body_pct,25..36.1,310979,12.172613840217979,0.31267063049273425,-0.30375236836191793,0.0009581794099191576,-123.26082888796401,0.0,0.0
body_pct,12..25,326645,12.785826206393363,0.3098807573971743,-0.30379386011099674,0.000916687660840354,-126.78831556078002,0.0,0.0
bullish,0,1349435,52.82077297011872,0.31304731239370553,-0.30421329519925255,0.0004972525725845389,-256.60721328822905,0.0,0.0
consec_up,0,1347419,52.74186092299695,0.312970204516932,-0.30438408340491363,0.00032646436692346237,-256.5807183651749,0.0,0.0
trend_4h,1,1067231,41.77449551677018,0.31278514211075203,-0.3045717916038963,0.00013875616794079004,-228.39273562540777,0.0,0.0
trend_4h,0,1487314,58.217754192887504,0.31210961505102486,-0.3048786314818455,-0.00016808371000842648,-270.6061757823824,0.0,0.0
bullish,1,1205308,47.17922702988128,0.31169709319111794,-0.3052672602679663,-0.000556712496129208,-243.96952750462106,0.0,0.0
ema200_rel,-3.06..-1.57,319343,12.500004892860064,0.300244564621739,-0.3059306178257962,-0.0012200700539591325,-128.7896154903206,0.0,0.0
